_airbyte_raw_id,_airbyte_extracted_at,first_actor,rating,total_votes,title,year
019c19e3-61cc-7c03-a151-0dc6fec56318,2026-02-01 15:47:28.161+00,Stepan Shkurat,7.5,3109,Earth,1930
019c19e3-6b11-7508-87f4-998f0a98fea9,2026-02-01 15:47:28.161+00,Simon Carmiggelt,7.8,327,The Human Dutch,1964
019c19e3-61cd-7d2e-8a5d-d3825845ec4e,2026-02-01 15:47:28.161+00,James Dunn,6.7,553,Bad Girl,1931
019c19e3-61cd-780b-93c0-bccfc9c637ef,2026-02-01 15:47:28.161+00,Wallace Beery,7.3,1926,The Champ,1931
019c19e3-61ce-7aa3-a89f-a47b26464c5e,2026-02-01 15:47:28.161+00,Richard Dix,6,3310,Cimarron,1931
019c19e3-61cf-71b0-b24f-d2d4da70d9c7,2026-02-01 15:47:28.161+00,Virginia Cherrill,8.6,93912,City Lights,1931
019c19e3-61cf-786b-a20b-8ced7169dfde,2026-02-01 15:47:28.161+00,Marlene Dietrich,7.3,1100,Dishonored,1931
019c19e3-61d1-766c-ba49-365968bad63d,2026-02-01 15:47:28.161+00,Bela Lugosi,7.6,30184,Dracula,1931
019c19e3-61d1-7525-9f9a-835ad439ec43,2026-02-01 15:47:28.161+00,Norma Shearer,6.7,1417,A Free Soul,1931
019c19e3-61d2-7689-83a6-61f232017cab,2026-02-01 15:47:28.161+00,Alfred Lunt,6.7,334,The Guardsman,1931
019c19e3-61f0-79e9-a720-e5187e8ac043,2026-02-01 15:47:28.161+00,Adolphe Menjou,6.9,1290,The Front Page,1931
019c19e3-61f2-7087-bec4-feabc4d8ca57,2026-02-01 15:47:28.161+00,Alexander Granach,7.6,641,Comradeship,1931
019c19e3-61f2-7a82-888c-725e87b094bc,2026-02-01 15:47:28.161+00,Emilia Unda,7.8,1486,Mèdchen in Uniform,1931
019c19e3-61f3-7ad1-8f42-2606547b2ac9,2026-02-01 15:47:28.161+00,Albert Prèjean,7,126,L'opèra de quat'sous,1931
019c19e3-61f4-7830-9613-7512ebe11e38,2026-02-01 15:47:28.161+00,James Cagney,7.8,12384,The Public Enemy,1931
019c19e3-61f4-7c64-889c-9345d37d9943,2026-02-01 15:47:28.161+00,Helen Hayes,6.8,543,The Sin of Madelon Claudet,1931
019c19e3-61f6-7adf-9214-900b2d4ef5dc,2026-02-01 15:47:28.161+00,Jackie Cooper,6.3,372,Skippy,1931
019c19e3-6838-7326-b1b9-76032c201f9b,2026-02-01 15:47:28.161+00,Colman 'Tiger' King,7.6,1283,Man of Aran,1934
019c19e3-61f6-7d4c-9d50-9a9960896c44,2026-02-01 15:47:28.161+00,Matahi,7.7,3036,Tabu: A Story of the South Seas,1931
019c19e3-61f7-7563-9550-b885d51f01c3,2026-02-01 15:47:28.161+00,Henri Marchand,7.7,2900,è Nous la Libertè,1931
019c19e3-61f7-7385-bda6-c3eceeec2553,2026-02-01 15:47:28.161+00,Leni Riefenstahl,7,727,The Blue Light,1932
019c19e3-61f8-737c-ab2d-fc5ec9a2d632,2026-02-01 15:47:28.161+00,Lionel Barrymore,7.6,499,Broken Lullaby,1932
